company_id,name,company_size,state,city
3523,Cornell University,7,NY,Ithaca
3524,Johns Hopkins Hospital,7,Maryland,Baltimore
3528,The Johns Hopkins University,7,MD,Baltimore
3536,Edelman,6,NY,New York
3545,Red Hat,7,NC,Raleigh
3556,Boston University,6,MA,Boston
3557,Georgia Tech Research Institute,5,Georgia,Atlanta
3558,Georgia Institute of Technology,6,Georgia ,Atlanta
3569,Hughes,5,MD,Germantown
3570,Arrow Electronics,7,Colorado,Centennial
3587,The Princeton Group,1,New York,New York
3589,Walgreens,7,IL,Deerfield
3595,ESPN,6,CT,Bristol
3608,NVIDIA,7,CA,Santa Clara
3625,Cummins Inc.,7,Indiana,Columbus
3626,HCA Healthcare,7,TN,Nashville
3627,HCA Healthcare Physician Services,7,Tennessee,Brentwood
3631,MassMutual,6,Massachusetts,Springfield
3635,Compucom,6,SC,Fort Mill
3638,University of Maryland,7,MD,College Park
3657,Penn State University,7,pa,University Park
3658,Penn State Health,7,PA,Hershey
3671,H&R Block,7,MO,Kansas City
3672,CACI International Inc,7,Virginia,Reston
3676,Franklin Templeton,6,California,San Mateo
3677,Edward Jones,7,MO,St. Louis
3678,Corning Incorporated,7,New York,Corning
3681,Fluor Corporation,7,Texas,Irving
3684,Mastech Digital,5,PA,Moon Township
3688,JCPenney,7,Texas,Plano
3690,Micron Technology,7,Idaho,Boise
3694,United States Postal Service,7,D.C.,Washington
3695,Equifax,7,GA,Atlanta
3701,Lear Corporation,7,Michigan,Southfield 
3720,The Reynolds and Reynolds Company,5,OH,Dayton
3741,Korn Ferry,7,CA,Los Angeles
3743,RSM US LLP,7,Illinois,Chicago
3757,University of North Carolina at Chapel Hill,7,NC,Chapel Hill
3762,Discover Financial Services,7,IL,Riverwoods
3765,GroupM,7,0,New York
3770,University of Colorado,7,Colorado,Denver
3771,University of Colorado Boulder,6,Colorado,Boulder
3772,Marvell Technology,6,CA,Santa Clara
3776,Epsilon,6,Texas,Irving
3780,Iron Mountain,7,Massachusetts,Boston
3789,John Deere,7,IL,Moline
3796,AllianceBernstein,5,TN,Nashville
3831,Northern Trust,7,Illinois,Chicago
3848,MITRE,6,VA,McLean
3858,Informatica,6,CA,Redwood City
3859,WebMD,5,0,0
3863,Grainger,7,Illinois,Lake Forest
3866,FedEx Office,7,TX,Plano
3881,University of Chicago,7,IL,Chicago
3888,Emory Healthcare,7,GA,Atlanta
3889,Emory University,7,GA,Atlanta
3895,Pacific Gas and Electric Company,7,California,Oakland
3915,The Goodyear Tire & Rubber Company,7,OH,Akron
3921,U.S. House of Representatives,7,DC,Washington
3925,Akamai Technologies,6,MA,Cambridge
3952,Hillsborough County Public Schools,7,0,0
3957,Baker McKenzie,7,IL,Chicago
3960,Ciena,6,Maryland,Hanover
3961,Biogen,6,MA,Cambridge
3975,Heidrick & Struggles,5,IL,Chicago
3980,Houghton Mifflin Harcourt,5,Massachusetts,Boston
3997,Aflac,7,GA,Columbus
4013,American Cancer Society,6,GA,Atlanta
4019,Capital Group,6,CA,Los Angeles
4025,Jacobs,7,TX,Dallas
4030,Bose Corporation,6,Massachusetts,Framingham
4031,FMC Corporation,6,Pennsylvania,Philadelphia 
4037,TIAA,7,NY,New York
4044,Invesco US,6,GA,Atlanta
4057,IQVIA,7,North Carolina,Durham
4059,The Estée Lauder Companies Inc.,7,NY,New York
4060,Cushman & Wakefield,7,IL,Chicago
4066,Duke Energy Corporation,7,North Carolina,Charlotte
4074,Yale School of Medicine,6,CT,New Haven
4080,DreamWorks Animation,5,CA,Glendale
4097,"American Honda Motor Company, Inc.",7,CA,Torrance
4099,University of Wisconsin-Madison,7,WI,Madison
4100,Starcom,6,IL,Chicago
4122,Pottery Barn,7,CA,San Francisco
4123,"Williams-Sonoma, Inc.",7,CA,San Francisco
4124,Forrester,5,MA,Cambridge
4128,"Lowe's Companies, Inc.",7,NC,Mooresville
4156,Air Products,7,Pennsylvania,Allentown
4162,CareerBuilder,5,Illinois,Chicago
4167,PNC,7,Pennsylvania,Pittsburgh
4191,Gannett | USA TODAY NETWORK,7,VA,McLean
4207,Raymond James,7,Florida,St. Petersburg
4215,Ohio Department of Transportation,6,Ohio,Columbus
4219,Ohio Department of Health,5,Ohio,Columbus
4222,TTEC,7,Colorado,Greenwood Village
4224,Regions Bank,7,Alabama,Birmingham
4237,"EMD Serono, Inc.",5,MA,Rockland
4255,Paychex,7,NY,Rochester
4257,Humana,7,Kentucky,Louisville
4262,Rutgers University,7,NJ,New Brunswick
4281,UF Health Jacksonville,5,FL,Jacksonville
4292,Arizona State University,7,AZ,Tempe
4293,AMC Networks,5,NY,New York
4296,DISH Network,7,CO,Englewood
4297,UVA Health,6,Virginia,Charlottesville
4298,University of Virginia,7,VA,Charlottesville
4307,Lincoln Financial Group,7,PA,Radnor
4310,TransUnion,7,Illinois,Chicago
4328,Logitech,6,California,San Jose
4334,Baker Hughes,7,Texas,Houston
4346,FleishmanHillard,5,MO,St. Louis
4374,Sanmina,7,California,San Jose
4376,Manhattan Associates,5,GA,Atlanta
4377,Weber Shandwick,5,NY,New York
4394,Assurant,7,Georgia,Atlanta
4399,Principal Financial Group,7,Iowa,Des Moines
4413,Paramount Pictures,5,CA,Los Angeles
4416,Primerica,5,Georgia,Duluth
4417,"Barnes & Noble, Inc.",7,0,New York
4419,UCI Health,6,California,Orange
4433,Aquent,7,MA,Boston
4446,Aspen Technology,5,MA,Bedford
4451,Parexel,7,North Carolina,Durham
4453,"Ryder System, Inc.",7,FL,Miami
4458,Diebold Nixdorf,7,Ohio,North Canton
4494,Weyerhaeuser,7,WA,Seattle
4501,USAA,7,Texas,San Antonio
4505,Scholastic,6,NY,New York
4510,Anheuser-Busch,7,MO,St. Louis
4512,UMass Chan Medical School,6,ma,Worcester
4513,Campbell's,7,NJ,Camden
4517,Hearst Magazines,5,NY,New York
4520,Hearst,7,NY,New York
4529,Houston Methodist,7,Texas,Houston
4535,Nous Infosystems,5,New Jersey,Edison
4541,National Football League (NFL),5,NY,New York
4543,San Francisco 49ers,5,California,Santa Clara
4548,Indianapolis Colts,3,IN,Indianapolis
4556,Texas A&M University,7,TX,College Station
4562,PerkinElmer,6,CT,Shelton
4564,Vanderbilt University Medical Center,7,Tennessee,Nashville
4565,Vanderbilt University,5,Tennessee,Nashville
4590,Parker Aerospace,7,Ohio,Cleveland
4591,Parker Hannifin,7,OH,Cleveland
4593,Western Digital,7,CA,San Jose
4599,Southwest Airlines,7,TX,Dallas
4608,Washington University in St. Louis,7,mo,St. Louis
4611,Massachusetts Department of Public Health,5,MA,Boston
4617,Epicor,5,TX,Austin
4644,The George Washington University,6,D.C.,Washington
4647,American Family Insurance,7,WI,Madison
4652,FDA,7,MD,Silver Spring
4667,The North Face,5,Colorado,Denver
4668,Nautica,3,0,New York
4670,VF Corporation,7,CO,Denver
4674,Exelon,7,IL,Chicago
4680,CVS Health,7,RI,Woonsocket
4682,Takeda Oncology,5,MA,Cambridge
4688,Ralph Lauren,7,0,New York
4692,Spirent Communications,5,California,San Jose
4701,Brown Brothers Harriman,6,NY,New York
4711,The Church of Jesus Christ of Latter-day Saints,7,UT,Salt Lake City
4713,Ecolab,7,MN,St. Paul
4714,Pacific Northwest National Laboratory,6,WA,Richland
4721,UL Solutions,7,Illinois,Northbrook
4725,Mayo Clinic,7,Minnesota,Rochester
4727,Quest Diagnostics,7,NJ,Secaucus
4728,NICE,6,New Jersey,Hoboken
4729,UScellular,6,Illinois,Chicago
4748,Social Security Administration,7,MD,Baltimore
4757,Lazard,5,New York,New York
4764,BlackRock,7,NY,New York
4768,Deluxe,6,Minnesota,Minneapolis
4783,IFC - International Finance Corporation,5,DC,Washington
4787,Apex Systems,5,VA,Glen Allen
4798,Hallmark Cards,7,Missouri,Kansas City
4813,North Carolina State University,7,North Carolina,Raleigh
4826,SEI,5,PA,Oaks
4830,"Konica Minolta Business Solutions U.S.A., Inc.",6,NJ,Ramsey
4835,U.S. Department of Commerce,7,DC,Washington
4841,F5,6,Washington,Seattle
4852,Jabil,7,Florida,St Petersburg
4857,PPG,7,PA,Pittsburgh
4862,"Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",5,NY,New York
4867,Harvard Business School,5,MA,Boston
4881,UNICEF,7,New York,New York
4883,Pulte Mortgage,4,CO,Englewood
4884,PulteGroup,5,Georgia,Atlanta
4890,University of Utah Health,7,Utah,Salt Lake City
4896,Blue Shield of California,6,California,Oakland
4898,Parsons Corporation,7,Virginia,Chantilly
4912,Specialty Equipment Market Association (SEMA),2,CA,Diamond Bar
4914,Kroger,7,Ohio,Cincinnati
4920,White & Case LLP,5,New York,New York
4922,Internal Revenue Service,7,District of Columbia,Washington
4928,Otis Elevator Co.,7,0,0
4931,Latham & Watkins,5,0,New York
4934,Hasbro,6,RI,Pawtucket
4945,Reebok,5,MA,Boston
4949,Porter Novelli,4,NY,New York
4957,Bankers Trust,4,Iowa,Des Moines
4960,AMERICAN EAGLE OUTFITTERS INC.,7,PA,Pittsburgh
4972,EPAM Systems,7,PA,Newtown
4985,Temple Health – Temple University Health System,6,PA,Philadelphia
4987,Phoenix Technologies,3,CA,Campbell
4994,Lawrence Livermore National Laboratory,6,CA,Livermore
5006,CNO Financial Group,5,Indiana,Carmel
5007,Bankers Life,5,Illinois,Chicago
5022,University of Rochester Medical Center,7,NY,Rochester
5023,University of Rochester,7,ny,Rochester
5025,News Corp,7,New York,New York
5039,Federal Aviation Administration,7,DC,Washington
5044,USAID,6,District of Columbia,Washington
5045,Cintas,7,OH,Mason
5057,Ketchum,5,New York,New York City
5071,Intelsat,5,VA,McLean
5089,Dana Incorporated,7,Ohio,Maumee
5095,Southern Company,7,GA,Atlanta
5096,Jones Day,6,D.C.,Washington
5097,Ticketmaster,7,California,Beverly Hills
5107,Lam Research,7,CA,Fremont
5112,Navistar Inc,7,IL,Lisle
5113,Constellation,7,MD,Baltimore
5121,"The TJX Companies, Inc.",7,MA,Framingham
5128,Nasdaq,5,NY,New York
5140,Virtusa,7,MA,Southborough
5153,Vestcom,4,AR,Little Rock
